ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	PNP_RNA	SLC28A2_RNA	SLC29A2_RNA	SLC28A3_RNA	ADA_RNA	NT5C_RNA	SLC29A1_RNA	ADA2_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.11047749765409	4.1399352738696	5.7786354440439	4.78882194058001	5.38663648568069	6.21511926819011	8.50145424733024	6.51362330975128	18.9297
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.81859076189113	4.44081397217902	6.17518611162015	4.06892066591691	5.4078064266635	6.52470151632214	7.19493959858069	6.66165387604671	18.0148
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	6.68565577649683	4.53453127887606	6.06262003633279	3.8312255198631	5.57802933289122	5.82357494934636	7.36916743824233	6.58144768878357	12.0151
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	6.11992836673424	4.52664421647244	6.06777129244177	3.81624799390887	5.25221468820821	6.00942867538096	6.97538302002618	6.48964156552969	17.6122
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.90270315648777	4.4119502335651	6.21100390991586	3.71746491363475	5.50706695488065	5.8221140864939	7.5275082641734	6.36117084374666	16.5016
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.50549186066404	4.61641638839155	6.28397109701569	3.69753373434129	5.41255548803806	6.44858442573132	7.82943279634377	6.21693271802261	16.8317
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.29073973616331	4.34538957096764	5.92214278721439	3.5909068378911	5.13969382033232	5.91484165829678	7.07377132031999	6.55748499353275	14.3911
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.5951402655157	5.79745089435608	6.32852381220667	3.73422648097511	5.64397001317528	6.2580201976198	7.15837892035907	5.57687100162277	18.2974
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.06963110435736	8.15840746979638	6.36618636125785	3.55669717870553	5.41336617237426	6.79786195419136	7.64753467235905	6.70489792028659	18.3882
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.84856271289608	4.34084492519583	5.90167278249279	3.64996281289565	5.14005178384138	6.03927619891729	8.39511550753051	5.76927133329852	16.5479
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.82674410695997	5.19574311800906	6.62029542775974	3.61757176660601	5.70739987498135	6.58566323593223	7.20095175274808	6.80734222449291	18.9064
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	6.94449025596329	4.78788693929687	6.12019513168798	3.76756586047192	5.31202177371798	6.25165527161596	7.35901153119215	5.79940174816983	18.6344
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	6.16949544616655	4.48225888325649	6.32173911924588	3.71161612135596	5.60790800093274	6.35714670828126	7.16503906499653	5.78119459695661	19.0909
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	6.52147131136828	4.2878382829461	5.88441836184739	3.68417525764726	5.26488062502798	6.07313386870254	7.3986411527148	6.49774995701005	12.0151
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	6.7123864050508	4.15168711409931	5.93776581209711	3.75806318484844	5.37181808604225	5.83495895690267	8.28843094419176	5.96098431409255	15.9592
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.97841260474767	4.58739330713942	5.72218159987755	3.55751239710804	5.14580912118299	5.95440669179502	7.24116161886982	5.92487036548226	16.3198
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.54894178273525	4.0972750683915	5.88307845647991	3.46024166271996	5.6231310172322	5.86412282024972	6.80548613625741	6.43302246815843	14.2024
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.59080279901497	4.11588545761746	6.50968838358049	3.49075007485413	5.46686083468141	6.52768689912644	7.6172922902585	5.9471057572475	18.5945
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	7.14675924098681	4.12920859958009	6.6322082265274	3.43338811942846	5.47229199615282	6.35085199227927	7.32933355824631	6.15268802504814	14.5979
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	6.47499052330987	4.39257678156254	6.11054546141896	3.59836955699689	5.24251388844427	6.05815272195603	7.45806676049134	6.7546002218682	18.8303
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	8.04805747993846	4.10314434510622	5.84948763852358	3.45320519273436	5.75618087336296	6.06361604974273	8.01548630437434	6.5618904656296	15.3294
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	6.1595526339087	4.44339468383615	6.04091993388721	3.7334081521508	5.58457311726147	5.94992425689937	7.08040943447057	6.7613605217393	12.0151
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	6.21650982995808	4.2246215390773	5.74169669147551	3.5183124349515	5.31638316711039	5.93207336712922	8.2239069915109	6.56842267963012	15.6379
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.47249092555931	4.54775047281558	6.17380434494346	3.82288554521346	5.72976868467273	6.71629608968188	6.91338346575758	7.06314608550102	19.2752
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	6.13546260863088	4.28248757743321	5.95992510998154	3.58206997835009	5.20984369789835	5.98178911403676	7.53036145799101	6.48089190073086	15.3173
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.96377164022103	4.48506373975298	6.22594177455142	3.50886033929412	5.66234802438315	6.0486245459455	8.56824595278833	6.66874021968915	16.463
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.10263793782918	3.96016435735295	5.40286252006191	6.29684816514185	5.49000427517611	6.91083082228115	7.93709152199345	6.91734739731186	17.3522
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	6.45139194120324	4.18381759973501	5.74630639036757	3.56885989987734	5.4698204663964	6.08374246310365	7.02479964195207	6.82672009260812	16.6218
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.60074409824302	4.26297548683155	5.83481140999127	3.60088496067468	5.15014747136615	5.97281897267056	8.10893999420209	5.93548125823725	14.7524
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.43845425887416	4.14304825764246	5.82951841466439	3.44552833896382	5.69452407085227	6.36964072734201	7.99807916984315	6.26949259789933	17.6218
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.60704871483453	4.33555217876799	6.33993198225417	3.49755759720718	5.30511064000854	6.51532953290767	7.79437532571488	6.26703331530453	17.2221
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.5175930118265	4.05286069280121	6.06531161082138	3.46191857229903	5.15494012693008	6.08037006461502	6.60398300090077	6.35216180847384	17.2725
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.49670695359721	4.47655520437165	6.0568988080453	3.83049091859356	5.30116037181653	6.17247852569866	7.49006924573805	5.789698779248	14.285
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.57210039115227	4.20609445847293	5.63006070565718	3.47486521393875	4.93622558188868	5.84197577168526	7.12088785916484	5.64848168484753	15.4192
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	6.79918441065261	4.21176532954651	5.80605737165687	3.56864719274904	5.01517749875284	5.94835392631401	7.58470760470821	6.34832815029199	16.348
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	7.30453794035632	4.17980595605124	5.92086038205963	4.18556560525096	5.42767162518455	5.89766737654888	7.9962340130346	5.6909068483736	18.4919
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.89811774630858	4.14674932354162	5.84374144499007	3.52253782916055	5.40477242832525	6.12803439150394	8.59260279088214	6.02991325279585	18.2932
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	6.50725328440982	4.1218761846231	6.17791124918678	3.65861558467347	5.50560073088444	5.75965030650481	7.17441151936916	6.47327282710289	16.3901
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.09081637632946	4.24438785883483	6.61121488372383	3.74877688569733	5.49650719529272	5.99729139204638	7.49702507215457	5.78430983358874	16.7798
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.49295439117437	4.5345485907396	6.40682632037978	4.92561725546317	5.07220044351319	5.50286265340679	7.49296012880798	5.75365707324064	17.6164
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.52169582736493	4.06667543171157	5.6672534472869	3.36266511258227	5.69129318650051	5.74912414469978	7.88615094597659	7.15210693167061	16.3987
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.84699172040591	4.18748776792675	5.79195548844926	4.30757584967119	5.17742928533743	6.26683208146272	7.56275075433322	6.77657603617176	19.3687
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.48071939906859	4.25336766351703	5.81486991125588	3.63195848976728	5.34003157059798	6.20362620570524	8.10979143817959	6.18744517720996	12.0151
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	7.01401418316961	4.25143879263391	6.04583257376011	3.8162626884811	5.06989266811676	6.74162874535028	7.25578470052034	6.24834630051096	15.6803
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	6.5359438789275	4.36055152915385	5.76663608267279	3.613331705726	5.37444915642041	6.14138868505142	7.38112246119895	6.40572428718941	15.6844
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	7.13924506658502	4.119991888228	6.31435816744282	3.53351476797861	5.36125366502189	6.14419539384576	7.52476026228704	6.44479299742817	18.5232
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	6.98949080703645	4.28761251952038	5.71660025748739	3.76124900440988	5.21507424855071	6.00774619154914	7.13557657677507	6.31213862711514	18.011
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	6.15888385945934	4.12901178094432	6.03304324867275	3.5514582720884	5.30992109833766	5.68554972994091	7.67580808572178	6.30432846617391	15.5372
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	6.4649053779334	4.21262644995495	5.95957510300614	3.33260692876528	5.3728175611266	6.48430274620666	6.72761290942215	6.49741891584259	12.0151
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	6.04995616918246	4.18451324507055	5.68831793604194	3.4478090773968	5.22263459120948	5.81804578826202	7.90005715295812	5.90702500222013	13.4736
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.57040652315551	4.71837656896035	6.04401534860406	4.01568513113883	5.34125724761801	6.27566837509964	7.17544931744135	5.9698947621593	16.4492
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.97495790419741	4.54958351950237	5.97647334315442	3.93914712716194	5.66355844756903	5.85657977573482	7.33189434100913	7.04569531624453	13.5922
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.09645119641698	4.4666752872079	6.57311338086946	5.14629666111884	5.49374745976814	6.60304289422356	7.44767300515709	6.02073400020169	17.207
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	7.26607647512243	9.63714257093256	5.55899276020824	3.51022385977986	5.64569005411749	6.76585879745717	7.09369804965315	5.50525414423063	19.2114
