ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	CPT1B_RNA	CPT2_RNA	CRAT_RNA	SLC25A20_RNA	CPT1C_RNA	SLC22A1_RNA	SLC22A4_RNA	SLC22A9_RNA	SLC25A29_RNA	SLC22A5_RNA	CPT1A_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.93287684967929	6.23982669604046	6.46955931781849	6.28671364238896	5.36446775770853	5.81822535755211	4.22979354752296	8.38464919795956	6.35600084203016	6.18978014033156	8.01850139492776	24.5343
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.02648306913403	6.56825398298544	6.88009909563363	6.77377127027089	5.85633054679412	8.15867803582001	4.5674706454198	7.95903768611422	6.16492924053718	6.14902557385965	8.56837191114424	23.9701
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.99740986858779	6.67005038563515	7.45841708513787	6.86600664033485	5.8784102542798	10.1995162965372	4.44205087577255	7.44932924577734	5.83344831625728	6.48693322677915	8.3158679837666	18.5831
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	6.02351188760097	6.88749630303613	7.68317632196874	6.53870904890802	5.76385391517029	7.81153487903902	4.93715107025422	6.25251850826305	6.3435954040194	6.29089398709154	8.46540615764852	14.3809
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.58067097215841	6.0932194387277	6.92020074284535	7.10910195983413	5.76125864035528	5.86878373787842	4.36967853728973	9.42594559202688	6.1024675295026	6.41727010476551	8.81958139435263	19.7654
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.95928166857392	6.74290155401329	7.09750174304107	6.41107706982287	5.76285727076211	6.35419295351576	4.72483172409114	9.05407366453039	6.51574866652123	6.39098280763879	8.23342785652016	14.3809
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.32109913628841	6.15572741103747	7.48481568447187	6.87056129460906	5.3965235903578	9.36198818461364	4.40789995218051	8.86503938733052	5.88103766013359	6.55526537034517	9.08068506955578	22.1388
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.99226288338201	6.76264267518458	7.32170584283858	6.02307267234762	5.71651691392071	5.70955549500078	4.47400061649199	7.61242294111376	5.74372510027832	5.98367207967697	8.47242280245112	14.3809
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.95754528711698	6.47562755352094	7.99527114839942	6.87858019857879	5.45072174726294	5.7539102840316	4.58798070512215	5.46753699422839	6.16251674077663	6.5189471234924	8.33015549112194	20.5087
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.08019796184988	6.72059970816647	7.68308788673617	6.52992455174954	5.74502928027156	5.82899545655937	4.51804581140793	9.03950056152197	6.09464491706446	6.17736115817952	8.16621074917925	14.3809
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.48243457077227	5.76543879194418	7.2636944566061	5.9517530094703	5.43206731734959	5.77195064253497	4.33141511953777	9.08138381837138	5.7573686769224	6.64214154247734	8.04431682991248	25.2592
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	6.05638831990867	7.53811246071471	8.34306484388943	7.37280197059532	5.78225828348132	7.07348615235075	4.41817769388918	8.09867571156545	6.53724128752445	6.35426659063906	8.62433823727351	21.4187
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	6.13790496982141	6.13041195317814	7.02962357431922	5.7339847963112	5.91276744385976	6.14165811891265	4.35462659603523	9.69883671433162	6.49251430253922	6.41754242218118	7.87532576642137	19.5196
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	6.08528105608987	6.9880231896322	8.04722381962735	7.36471641323114	5.63260104158616	11.3498754748272	4.4156219542647	7.1905580633594	6.11491142042121	6.67583178849944	8.3447092544833	22.9793
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	6.25602898091596	6.43999292995783	7.40165747448374	7.01840939805425	5.58929583466898	7.51648937664649	4.33719788740335	9.5658449951069	6.80052927992295	6.13953746779745	8.45748198851722	23.037
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.63688573830524	7.0146079267068	7.88020673319523	6.59761384521098	5.70281645352157	9.65224408304164	7.82819362616035	8.39858487308524	6.26596293678133	6.96901325280251	8.22961486426942	15.9112
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	6.47176327900481	6.59813798934732	7.48328514228799	7.00809632869144	5.5444203010303	8.49041632867917	4.21184358862601	7.572126400396	5.81391905726163	6.02484868325349	8.53124894895172	18.2265
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.38568731090523	6.72500082336677	7.81669426361103	6.94009548445187	5.59718739677932	5.54063058617892	4.8464809035444	7.52573653637171	6.26213686122042	6.40026198853734	8.86374710318644	21.5664
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	6.12529399012989	6.43456986695139	7.42686642969256	6.84789930358734	5.44190670504454	8.42167450179457	4.45148546105774	9.00265613575396	6.31154183953762	6.48826408133012	8.69550846515503	21.1246
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	6.54220441366885	6.46744575433468	7.94995678814611	6.22320787366351	5.63131870674921	6.28919704931809	4.26081283170975	8.18849803725132	6.24146779245614	6.34579323167787	9.50001132821713	22.7536
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.96148299666141	7.35922613502106	7.15357802696336	6.24493214718241	5.79733988375582	8.86320025151338	4.28627361635874	8.43191175691585	6.10636421218465	6.57710891968571	9.7459327139864	20.124
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	6.34296067560701	7.22263756029381	8.13598537817147	7.13363257885007	5.69844559899382	11.1090435408767	4.44149851364872	6.39885230103294	6.17107301698393	6.18203179928036	8.18443810496728	21.0338
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.82911518044606	7.21221195564741	8.06512296416814	6.88574943983319	5.58727906449367	10.4454715921787	4.32691266915631	8.12707287965549	6.50184490839439	6.2011613646986	8.66381298112711	19.3811
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.00734731045545	5.54850324301671	6.38822494521224	5.78338501313743	5.75571752738153	6.07160822721458	4.55033173259041	7.44178754956062	5.87998543874201	5.78543685563105	7.74682801889207	20.9608
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.86918288633808	7.10195590171911	7.97239811081133	6.75049064749256	5.7598294760497	6.15871456961696	5.05602293266879	7.33817501923811	6.08762665850957	6.30708432816523	7.30220738782697	15.916
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.13833304528324	6.96076140031514	7.61731138294973	6.49094009682077	5.33710413924389	8.66043972099351	4.64513488043382	7.66928884303295	6.38002463720239	6.58993032189839	8.50740966049843	14.3809
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.51012771904525	6.44696895429885	7.18927999171128	6.32347783378673	5.4380003584126	5.36808600745419	4.25755710332311	6.61538956109875	6.08692541167342	6.62283456216485	8.06248452732896	18.8723
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	6.02195623340547	6.62345828469798	7.1879609036522	6.72436900774185	5.63113243841688	6.44158272150272	4.4474766919626	7.52993276671559	6.17202319538059	6.11448422051008	9.57883008191527	22.5022
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.92534783822674	6.93868638686705	7.62928225312927	6.79132762063972	5.63968221885674	9.29190944550303	4.23443578043695	7.99487712791856	6.42720614435567	6.18088740967579	8.15356423280286	22.9742
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	6.41716616781519	7.49064414632717	7.35228095751182	7.37114045113914	5.60601464894306	7.24517230723601	4.19688863375302	7.16339956766219	6.09378652805408	6.17828342789785	7.93763068184502	19.7451
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.45216805329877	6.41668000862587	7.5142243472363	6.53309565207672	5.69056081875338	5.66883994675967	4.31896828666081	8.37513205695831	5.96655986682426	5.68633584947053	9.38007992984165	19.3079
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.80388669430654	7.05293816103406	7.5773524515925	6.86955804973512	5.51428660459222	7.91068474782587	4.90384625075182	9.22777660709873	5.61851046566882	6.32876335452773	9.44211087076157	20.4395
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	6.30611819035579	7.18710824557404	8.24087666466296	7.36846448921331	5.66850465968651	10.9934004605669	4.38377130827033	8.24240653048049	6.10855388128824	6.181258787787	8.49611725414599	19.7222
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	6.05549044596036	6.93201238033232	8.13080713663654	6.61804930755678	5.53016039914654	8.05132794405009	5.05125448494605	7.80572804766491	6.37162350424679	6.7282626707951	8.66038864290444	14.3809
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	6.31402939652738	6.22968719210795	7.73617611395779	6.80481148915593	5.57152644045744	7.00799519040267	4.50583179430408	10.089701752572	6.13608810510071	6.52322412122841	9.90872868997737	22.8573
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.59402370865241	6.15926419520608	7.15561430647397	6.17793150240007	5.78344806989046	5.65348960084246	4.3060743974699	8.41484260053031	6.0207230764358	6.74364386178902	8.037466695218	21.7271
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	6.3702142487117	6.37897747502358	7.75854740014839	7.38659718828694	5.52430282806216	7.33071385421613	4.34658048489523	9.32627640065461	6.12818883263716	6.62798232622673	9.29680231321785	20.7146
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	6.39128147984693	7.36647878946974	7.83660551789547	7.13242155181414	5.64614712995455	8.85336886442875	4.3410329171738	8.25408686481701	6.97007609322023	6.10782985572908	9.11250201550865	23.0095
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	6.4554437835347	7.2793781595964	7.65908406257015	6.93615809663068	5.79108344788386	7.90101363312296	4.18274072157972	8.58261996819964	6.95683950294456	6.18621059706188	9.14144245252465	20.299
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	5.95490897438029	6.4974885529508	6.955240615111	6.18056769169297	5.60855240993853	10.2531279641461	4.6169669170696	9.18777096990738	5.80664850624624	6.61712782937675	8.42043615222761	20.6874
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	5.93342830557521	6.83259361089682	7.63406463694731	7.18039802184428	5.43402436272933	8.96975332460374	4.1521925832201	8.8567983155961	6.15977559593489	6.11177575164965	9.07349485410244	20.4427
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.01545033508134	6.49284365099053	7.69149003258061	6.77300330644053	5.68933744035641	6.91854683456461	4.47522487752497	8.87908608560524	6.32568675134611	6.49635764148356	9.42198049579151	18.3799
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.99740186470761	6.56394092104463	7.82132948557673	7.3557138472327	5.4904729785016	7.74211981710439	4.47848453673161	10.3065012144573	6.16094972387761	6.83402512522216	8.85289748079229	21.8356
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	6.1343355404638	5.96729656265942	6.5488859890985	5.6431556526	5.54068842562855	5.5384323801404	5.28731191193836	4.28660979486407	5.77542810661924	7.30514490917606	7.97943652739975	22.2877
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	6.28482169134117	7.27529572404248	8.2659015184658	6.63172790928247	5.70690414859144	11.0899071714449	4.51344210953515	8.13341598440602	6.18051312200362	6.44062246552447	9.52070073156975	19.6263
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	6.49894886141227	6.89855110525386	7.80799223937639	7.1754710480705	5.54926680406861	6.21998055690371	4.37665323281119	9.91720398205516	6.26700117905466	6.29606500550293	8.80956107710591	19.0866
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	6.00986520404135	7.78319269183593	7.99876443959017	7.71590471442636	5.48833908739388	10.1776499029799	4.37215122811951	7.37217353694872	5.9708756104839	6.15448799259555	8.86522034030483	18.8935
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	6.12273488897054	6.80360201380014	8.03014435019164	7.45768629775546	5.47728945557052	10.1322307746677	4.56444854178677	7.7510082956239	6.1778014127182	6.04635211690353	8.39648763108317	19.8707
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	5.62662539904489	7.47073767145724	7.98266021857413	6.79499888268994	5.44492882502027	7.39843164243125	4.46140417246058	9.14849968538607	6.25134219692247	6.64967227916613	9.05854402405755	25.0978
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	6.23995571970249	6.99574564921879	8.12112700992898	7.49751380803646	5.55040131272841	11.3753075258892	4.34689257089384	8.969809049354	6.0416143736467	6.49675303779389	7.69409840963186	22.0669
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	6.36917559598677	6.68135283633048	7.75950161905237	7.06592888713779	5.78251213677359	10.3663863525748	4.54330943805443	7.64312207985971	6.14859463415661	6.13471575861571	8.02440174482554	22.0167
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.08818656718013	6.88025934008274	8.00590824173959	7.15132706420758	5.78031574446505	8.5292054338242	4.34553743370539	7.87694782003323	6.1561378922318	6.22609635711323	9.09870341053574	20.2683
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	6.39554985389221	6.2747783443552	7.14545215796469	6.31590838737042	5.72750189314934	7.97101295038854	4.8149169703213	5.80872483404416	6.55951627989201	5.93310447026427	7.91666378488643	23.0197
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	6.34135011151188	7.00356183652359	7.57720137065131	6.15484766575934	5.39205596929921	6.1024748204976	4.5389234186715	7.76538978651796	5.81125801644763	7.1223223337475	9.41681383014043	21.4317
