ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GSTO2_RNA	MGST1_RNA	PRDX6_RNA	ADH5_RNA	SLCO2A1_RNA	GSTA2_RNA	ADH1B_RNA	GGT1_RNA	GSTM4_RNA	GPX2_RNA	GPX1_RNA	ADH7_RNA	ADH4_RNA	PTGES_RNA	GPX5_RNA	GPX7_RNA	TRMT12_RNA	UBIAD1_RNA	GSTM1_RNA	SLCO1B1_RNA	GSTO1_RNA	GPX6_RNA	LTC4S_RNA	GSTA5_RNA	HMGCL_RNA	DHDDS_RNA	MGST3_RNA	GPX4_RNA	GSTK1_RNA	SLC7A9_RNA	GPX8_RNA	GPX3_RNA	GSTM2_RNA	ADH6_RNA	GGCT_RNA	MGST2_RNA	ADHFE1_RNA	GSTA3_RNA	AKR1C3_RNA	GSTM3_RNA	GGT7_RNA	HPGDS_RNA	COX10_RNA	SLCO1A2_RNA	SLCO1B3_RNA	ADH1C_RNA	GSTP1_RNA	GSTA1_RNA	ADH1A_RNA	GGT5_RNA	GGTLC2_RNA	ARID4B_RNA	GGT6_RNA	GSTA4_RNA	GSTZ1_RNA	GSTM5_RNA	GSR_RNA	HAGH_RNA	GSS_RNA	HAGHL_RNA	SLC25A39_RNA	ESD_RNA	ABCC5_RNA	SLC25A40_RNA	GGTLC1_RNA	GLO1_RNA	PDIA6_RNA	PRDX1_RNA	TMX3_RNA	PDIA4_RNA	PDIA5_RNA	PRDX3_RNA	PRDX5_RNA	P4HB_RNA	PRDX2_RNA	GLOD4_RNA	ALOX12_RNA	PDIA3_RNA	NADH_upmeta	Cysteinylglycine_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	4.7071666962115	6.27117667492404	8.62445847825743	6.79398272767842	5.73381551442637	4.6769032663632	8.15539360504055	6.0787517692329	6.06475344901115	6.73140417680409	8.2783748264773	4.4395705265198	6.88438972274768	5.61076334516765	3.6851737845751	5.80033920161032	5.99703079746859	7.3064799445146	5.20149679781905	8.61493609408568	6.44890559798987	3.70152435798297	6.24273881064763	4.62548330284889	7.58620231199014	7.29730645840418	5.85502894570502	9.1148621566816	6.79406576460625	6.39254358045881	3.55642834072686	7.2175140323268	5.20288896623467	7.02450536940774	6.28019149151671	5.87965317947107	6.81895104054068	3.99825634459674	6.72671698026425	4.71169201608447	5.86848252707134	3.74228905551521	6.03050499293768	3.26327741532742	10.1726502198871	6.87560593591336	6.58047193841911	5.00967860520574	7.54865708623554	6.54892693556461	6.39204849345183	7.59231339168716	5.33579453744603	6.59271869515712	5.34953742838677	4.49893895730646	8.36723541399632	7.28164456427562	6.64503577996278	6.33240053888639	7.78366838994486	6.76787277595774	6.49652554134209	6.97700562901205	5.87570035769168	7.97894082407048	8.66347219888526	10.0808549635243	6.87597424341779	9.38198180255169	7.62923876189442	9.60724236572285	7.94869993871549	10.1164415786092	7.06298467057584	5.75759347662364	5.05131908455208	10.4396595389976	18.9258	21.299	29.5573
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	3.62543649422401	6.96586161094667	8.34428470837237	7.21041365754613	6.70449509910172	7.6706450829518	10.4148011935005	7.55945463250499	6.65837659226186	7.95355009606097	8.16162253266059	4.96799160403574	8.27882885882747	6.07069269948633	3.52215205619625	4.92950507806228	6.52656327612121	7.24710325527741	5.44531323548002	9.65650182064599	6.55055002669104	3.64470549894284	6.43374087742643	5.38589056402789	8.6672308899924	6.8434943895764	5.15288074379749	8.96393414403489	7.20810041688603	6.48701884476944	4.20400476462753	7.15529813561007	5.51403629592279	7.22086417411321	5.45437017667765	6.11810349809428	8.20471733136655	4.65798043270069	7.50214475292555	5.45090148181705	5.88206034808084	3.80330501652194	6.1343550648929	3.09415481524961	5.7456639846149	10.0001669851942	7.26519685676554	7.79094971615471	9.1965962963538	7.06652423748376	7.11741093256984	6.55422023810128	5.54942689572036	6.02766668333388	5.87056448494123	4.78987154371861	8.50686258227908	8.30325416153817	6.91822790122307	6.60609653250725	8.41422306147357	6.85604475323763	6.79600873365491	5.43974487070891	6.69385684523567	7.38950920920562	8.09228466109628	10.266174668201	6.38102601332671	8.52284410078689	7.245584458002	9.63800691661827	8.38924462402651	9.93754316949703	7.1701012920058	5.6277170423222	5.47724594321356	9.904564333377	17.9132	22.0038	27.9703
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.3839723662048	6.87566418377744	9.06465853131669	7.65545369116402	6.84043880577097	8.26567337713133	11.4918319149563	6.38782657118219	9.17104406749567	5.81904425862324	8.054375080304	5.10693133366581	11.0561587622908	5.88523803451297	3.97952935250968	4.97073318920268	5.5913161671211	6.82052928861433	8.62891595596163	10.1380875739065	6.71706811856901	3.39539926993871	6.4464509804039	5.83008971516938	8.63047221666583	6.87440352860595	5.35387845253088	8.07095632719304	7.56308570776173	6.28832157557416	3.75417258939254	7.8818286135049	6.95268834151326	8.20070843146968	5.48699592007809	6.54041233809169	8.51616708772269	4.95464648363368	7.56779325886376	4.3636064064179	5.69983698455311	4.15821599156567	6.85002257513219	3.53344216141025	10.7693832251347	10.9153967193961	6.9808064008174	8.37142486155405	9.76692046461484	6.76744926544171	7.05865906634597	6.79317190248838	5.64592795229261	5.61630596306369	5.72018880636249	5.73082675498588	8.44361087792502	8.25355715001173	6.47492045001898	6.78132609550454	7.8657649261868	7.43409043372994	6.16350075095646	6.28106392815137	6.39612025445779	7.04435032289289	7.65083422127133	10.0940341284398	6.34066337745607	8.58681058204859	6.63262876965807	9.94982825736986	8.11276751732933	9.54587276743288	7.05175604145276	5.54159368337616	5.78955474337336	9.78625235909059	17.3772	17.6922	24.7882
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	3.83949048028787	6.63461654648618	9.37995324963733	7.72629313741972	6.2985379689654	5.75912930746103	11.8801284357077	6.19533919140727	7.15053773819569	7.76442408437425	7.47562336980104	4.96845202621292	10.746970786194	5.90592796990555	3.72049259304803	4.77573196253392	6.50743146136368	6.98542470794609	5.46557902074849	9.55148017295857	6.31148646263503	3.88830847712798	6.39039653362873	4.95956899672665	8.56859959797968	6.74525849408452	5.410377495582	8.62884924513078	7.35752821154943	6.11283856199526	3.55571791935682	7.63814589012968	5.50227014228393	9.63000144663861	4.96138231671806	6.39215740194556	8.77932771082853	4.21293471779805	6.72296472964117	5.17167721633389	5.77709073564676	3.51658794081699	6.59425847768071	3.11870155068163	10.6020352649821	11.0635684759265	6.89514864820654	6.43028706991456	8.81850213363047	7.07164953281282	6.81096605912736	7.0898626411633	5.64112603481889	6.19312435579555	5.87369648826383	4.66587350123073	7.82869848656684	8.10770290320948	6.50028930230515	6.698975498184	7.36366031917829	7.16462082969572	6.04713212467901	5.45538049018295	6.28988127825876	7.4446382176115	7.985668360165	9.73067045345665	6.26840843148967	8.41378924603338	7.57821022858647	9.59125577631723	7.8176482253396	9.70911736516658	7.57796912412988	6.03865057916846	5.62516005289772	9.59706506550234	18.2417	20.2619	28.4971
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	3.98213607801359	5.44548163533693	8.69971186359404	7.57519489852712	6.42868071873457	5.62830736325427	9.54682949940138	7.51840544593472	7.16426562806503	4.38837877445135	7.19418027960438	4.70116174425066	8.95946552597318	5.89398907810334	3.90598844103766	5.50901879901369	5.99255853045425	6.7497129808848	5.87083354022418	10.5968324502081	6.37161573031849	4.35124426012239	6.29207667478644	5.20214137505071	7.9822318752037	6.89707905426416	4.98241031325618	7.77161334756671	6.8139836945574	7.36521619552453	3.7860197488771	7.07957513856249	5.64847189167192	8.00321120121821	5.51461051842183	6.31987991075223	8.41548205539708	4.26148064339688	6.68133759485227	5.6445616728684	5.97864918196034	3.84516041058308	6.40975981763844	3.32462995885054	10.6015939815432	7.86944917372019	6.76430072887943	6.26747421955715	9.23204479896563	6.69808214014607	7.20862995535245	7.28831584273917	5.61395955951827	7.16878525443067	5.65332219247306	4.70073256451834	7.32003952083148	7.54984384104807	6.51675115245978	6.49764462781826	7.49816527049477	7.55159131903229	6.21192291334541	6.32140795931806	6.57064187215263	7.89705549675773	8.19566219582764	9.28280373813886	6.32270779845638	8.16981357019589	8.12662780306375	9.77440441792169	7.552833555911	9.22495621298785	7.01149281553688	5.70142275057333	5.61453030252918	9.83656005570107	14.5684	21.4164	24.4621
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	3.40721925902703	6.36283195132099	8.46932728182032	7.16092528485092	6.94993654466177	7.95946340488039	8.18958427976194	6.65321274370887	6.90920535460658	7.43450881262972	7.79413893306253	4.6006456210915	7.38843902876948	5.82153454140356	3.83327660476272	5.39080488015837	5.65099043731166	7.084897129079	5.45463537835254	9.10496559616081	6.17898829916074	3.92386161787844	6.44608178137621	6.16189948582347	8.53073876050937	7.04119546933104	5.07979553168635	8.53061519529022	6.894452517551	7.0369326889572	4.2236397559335	7.4998522836176	5.34175204130127	7.50987499089567	6.1234119123324	6.09769765689721	7.70755694843243	5.33143707906505	7.68647449865995	6.51089509429711	6.19012294750016	4.05582187076801	6.08731233265041	3.15597314887293	8.39365779875081	7.37336718423849	7.07442653863988	8.8900202699451	7.40336651167395	6.85607373525176	7.01329446918511	6.71894764953585	5.93512728652934	6.47180007471716	5.8709227961081	4.62930865964675	8.54335637887588	8.16222579346214	7.23057486703403	6.64438424718001	8.04674276339702	7.03608108298983	6.1106067421906	6.27153563537431	6.4397501226385	7.55170773552594	8.20200753589901	10.5526832151159	7.00133761672029	7.92971325979558	6.74695784199371	9.36677382235187	8.06199912738407	9.79511542075506	6.92905336695219	5.58338198848355	5.91840133254419	9.98103477021327	17.0481	20.3006	26.6379
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.56518702582806	7.11622369665662	9.68431368243895	6.75638331370221	7.11960263081216	7.38930542929427	11.0118601988073	6.1419704217352	8.71805615673583	6.75604874889453	7.567997873799	4.47702848948915	10.558272560503	5.28595715135672	3.74915040598724	5.7259250033662	5.98352331495921	7.60416966632404	6.7835137588112	10.6783699168535	6.70575494646222	3.43467277325091	5.97186319979745	5.64161135788597	8.25254796486433	6.7318608510511	5.73135932034397	9.40822451245492	7.46346919920531	6.81566569967007	3.59494960333508	8.22258643596456	6.14999133796027	8.18041711943875	6.10419264321756	6.16495081848709	8.8128232916613	4.73838207127571	7.50983330262856	6.24493220518614	6.26965772446937	3.64992914857453	6.84569779787097	3.40532251022338	10.3196661411092	10.3851525754082	6.54754051422244	8.14317069980282	9.2959653792226	6.78730728720446	6.482579209865	7.11249124286514	5.00173919229395	6.42681532476921	5.39480026527669	4.87730686541771	8.53927887973892	7.71832678002554	7.0040884717443	6.07795132011358	7.78727830590687	7.8544537643341	6.07372642627515	6.93474582363194	5.9263591147244	7.88699193720412	7.88408247058919	9.70798073579352	6.9582727249997	8.45435585614939	8.00924719025336	10.0390398761937	7.53796744743606	9.77107233622528	7.49774234786417	5.54860865951481	4.70769780568605	10.1510941258277	17.6766	20.7037	31.4638
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.72872904556445	6.43528667879915	9.24603438318831	6.7143131223938	5.74051014446094	9.01942728405684	7.12378629116169	7.34600095968301	6.98178090435032	7.80148005493448	6.92997189877686	4.74596753618135	4.2493188842835	5.85466053325175	3.63608809700824	5.70874972855954	6.48783061215484	7.04345894216237	5.66820777249553	7.21638206010858	5.79386415755706	3.91591318862056	6.34493513437075	6.17162564704122	7.86629767246217	6.89068724467302	6.20157033305755	8.56460804876734	6.11222700310809	7.41309664579319	4.73296109429696	6.68147249319187	6.13720861707963	5.9326201124573	5.810287548038	4.94846040035609	7.3465792287071	5.61113482802029	9.78158341204545	6.26768776891825	6.18412065565074	3.53099701160985	6.06104685458172	4.4722660328046	3.78453098280226	6.47513993249821	8.01293534357086	8.62271748390476	6.94559964971875	6.74648142691508	7.2092227576974	6.06630525217522	5.51672648791597	7.38889867823498	5.60510097899155	4.62276499686595	9.32239006603553	7.51989421882657	6.99880660212146	6.54992572506872	7.90750073428092	7.29300552383523	6.25984145613946	6.08379444284625	6.63214199754967	7.80449164538087	8.55472792939742	10.6293839024594	6.25566343350297	9.17346701444669	6.803221439749	9.0909755030739	8.29730210065681	9.42524387066189	6.85690748727382	5.67375020618408	5.37059044075319	10.438709850547	17.5744	27.533	30.0954
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	3.37485878110185	5.77970013474015	9.0696966128857	6.15303464227375	5.82926342800778	6.85420363522036	4.8769041037859	6.55697371727166	8.69207832652914	5.89724296599152	8.77367779162587	4.55457934694883	3.94572379574168	6.19170326190791	3.74880506385646	5.3474401339131	6.18944141166721	7.1117294236915	5.78766754969882	5.56600362065387	5.89676718753021	3.35252022067551	6.10631523622332	5.31864716036982	7.79037578586493	7.73497302468863	5.87110565285322	9.85187783917055	8.44308864963832	4.98841075485041	5.08816933694309	8.98508672110179	5.81497156926838	3.70263685028548	6.4866949634362	6.08053174368265	6.80967691720358	4.37286926015744	6.62688566538551	7.20193904161382	5.92541532448271	4.43453507303716	6.83128001371957	3.17611734004158	5.75319345508659	5.31043843663072	6.97516489117562	7.7477658365082	3.89398289885063	6.39690096951133	6.81336592131861	7.02672944276982	5.2455549646424	6.43586428443743	5.46698658468247	4.70805664882682	8.59105867911585	7.46788374809341	7.51854658513618	6.37854090664973	9.33224042189874	7.28150307297908	7.24836715057296	7.50512336687357	6.14452482344977	7.72970278668164	7.68823206140578	9.62827744128231	6.65395907267519	7.96458670955958	6.25819896462834	9.5853977074703	8.53339636107437	9.5471303615294	8.80777583636307	5.81290565486021	4.79626134685418	9.70572630244243	15.615	21.868	27.4517
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	4.16311157447697	5.77636034798081	9.02881638038175	7.44864688774105	5.58850547676072	3.81181008295689	11.4416798387894	6.20875515775911	7.59142276727403	4.79690081506395	7.4378527406148	5.23026850491051	10.2556371310375	5.60893744657134	3.80919213709294	4.68474217819869	6.1732578245443	7.49297504398768	5.50466752593903	9.02289196807952	6.21896515919036	3.80963857261397	6.23364406812391	5.1182420082847	8.27726006033248	6.85818513799008	5.33322365745073	8.80821026373416	7.66783561314028	6.57254867837626	3.66173059876437	7.02741817872847	5.59902843765594	8.36454968156096	5.61558889188288	6.67042527719102	8.79525253988543	3.95743301711623	7.38953273454904	4.86237784347452	6.2684116181657	3.44715396019744	6.25592720058636	3.51975012315592	9.31549137236877	8.75787873222729	6.4765976789853	4.33369037854338	10.4185603312297	6.58205404890145	6.7829506053063	7.3145761286331	5.44816085507692	7.15304712948457	5.98655904183502	4.67930111836469	7.85609880822477	8.15416277408957	6.92873162695963	6.51919802805953	8.09499849644458	6.84508927707582	6.18352657814613	6.53558854066545	6.3265246064533	8.16287366090838	8.4319133737606	9.21284729881275	6.45389467638664	9.42776791997024	7.45887753760107	9.38082394191115	7.98496499295702	9.87601265883016	6.44232957521485	5.48688564580031	5.19277174683689	10.1364461324108	16.5449	23.3211	29.8234
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	3.68908645643101	4.89863067945929	8.72934948161796	7.49564391856381	7.26695522458573	5.48101495278832	7.02926733715736	7.26639386455098	7.55792235687121	4.92655735077638	7.84666659813933	4.29945377481002	8.90176392395417	5.7381518787317	3.53223999268999	6.25351372255972	5.96790551195908	6.88154584326284	6.62988661288474	7.91481810607126	6.05789930504193	3.56710325146469	6.18309450972346	4.95904847184982	7.48553462719532	6.8643824975632	4.7658818676699	9.07057715535212	7.31555019267065	6.5098227061267	3.97783491554571	7.02114959865134	6.17030033039819	7.58787237420463	5.66666944288143	6.16982212584014	6.55653467819142	3.82268635074644	7.31227063563527	4.39760911415677	5.87723393393069	3.31618807962022	6.33152257414085	3.73461780685269	10.2877970227773	7.12207324032205	6.73217267902275	5.66329530704558	9.67993390906595	6.5857739593421	7.19304821817515	7.02088906491551	5.15968355860052	6.21027682325357	5.49693587389383	4.837719497912	8.10437343833222	7.71361488460259	6.94801409841894	6.32505048445688	8.48701558530176	7.60566111527976	6.6740652793928	6.41009733107012	6.4790345841812	8.62034479294599	8.61380072507088	10.2102512161694	6.38424449616282	9.39254846222078	7.05633874224083	10.0323192464155	7.96940149641294	10.073639421683	7.81371911368339	6.11801099588808	4.8009935497883	10.2457347210364	12.2883	19.7311	18.6159
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	3.52815531692973	6.53178271227331	8.34134092994399	6.62944865063358	5.56310831150462	6.59913996369357	9.14158026450438	6.36537851139692	7.1590352540581	7.90250415696127	8.7704358207846	4.80575254302764	7.51629651774009	6.15831901004997	4.13430769646069	4.71828926913452	6.18305452397987	7.41633820695744	5.5238822578311	9.15760189582467	6.85163554004308	3.9016424958332	6.66944532077691	5.36207691410962	9.25491455698085	7.22721601585053	5.051651230605	9.03431626208121	8.2290719678471	6.54417458717437	3.49831477315024	8.71132211067411	5.54292583343021	6.54890525431488	6.490204579589	5.82700065158637	8.55055141450064	4.57169984523517	7.02113591088218	6.82547269175796	6.03060775047732	3.54932407112608	6.07221901448503	3.10137440505288	9.67101503064689	8.37314178679049	6.86702734425128	7.60566235577318	8.0173636852803	6.81343427958387	6.87152685320626	6.37531496891509	5.91221258738824	4.76450009482607	6.09143677215992	4.81850491782192	8.8421459301362	8.21367884201004	7.1241062573207	6.83026247881364	8.47866007202153	7.40902250821984	6.28650387701807	6.12436834821623	6.32686569064392	7.43008396040865	8.38417627681822	10.2288291057278	5.94376698336359	9.27183474144901	6.92154864119763	9.1036990678329	8.60710462631537	10.0209771935236	7.44850065272466	5.74205836811408	5.39170887859506	10.349148622683	15.696	21.758	27.8181
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.20068829113748	5.69020063770401	7.77243153624267	7.22060131380863	6.13359891173883	4.50187520523061	10.1122195432396	6.56721304690037	6.07051213858595	7.16154244761792	7.41921916411934	4.75689299304755	7.600897829068	5.99313643924102	3.519448915175	5.07420118924811	5.61485943190464	6.6893672178424	5.69214121435609	8.52263482768116	6.59939085811176	3.69054891662328	6.62553566575689	5.09113408706821	7.04613662958637	6.37793621838753	5.19862924161098	8.46491480538411	7.00268166354281	6.75555966504555	3.64127544314332	6.12123008058508	5.48828583642622	8.56885638775994	5.63441368321162	6.5167768061449	4.88739068203029	3.91346945858223	6.92535919550556	4.36134756623979	5.95005851806295	3.46283668709733	6.21695110153258	3.05944594257748	6.37530585776127	10.0141858193456	6.87719916324305	4.05460972738412	9.92253225991521	6.92193971916418	7.09707569763153	6.97812169568774	5.68775671203253	5.96565727378391	5.97424359592634	4.77694188477315	8.56989832675207	8.02613312054637	6.84727693885885	6.88397678760474	8.11506460071967	6.83165550777239	5.97920775916041	5.46516085240082	6.64454802642215	6.49974261792805	7.98368643860226	8.9974858148269	6.0558566613822	8.83902731218142	7.92998166620782	9.05740151134703	8.27722755966985	9.68436964343771	6.74008758652222	5.81094300879135	5.47205786304616	9.78630490136542	12.2883	19.9128	24.6119
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	3.42789212074252	7.505505078394	8.72275819547011	7.17297079211218	6.06826059072214	9.58311403724219	11.5179763248941	6.19166303464451	6.17433601842083	5.83061523371476	8.25358401771648	4.61276344255374	10.6487671473939	5.61782377112325	3.73508840652982	4.89585425271852	5.98118864538204	7.82228164454536	5.36938984925741	11.0296386073074	6.19408655751426	3.36721939003543	6.35065552117835	6.47653223329564	8.79899370010819	6.39223101372526	5.46543782471673	9.68376779920055	8.16745411244962	6.24227780845097	3.60741107986312	8.39970503995013	5.27690760670619	8.3463378780733	5.93877136129419	6.35248570767177	8.54821370179177	6.20389942815878	7.83903451413146	4.29378345000802	5.59181814803345	3.42847734029823	6.37757284552205	3.12956976751526	4.64595860855815	11.0229402641966	6.4712219455737	9.38526659531825	10.2755969074658	6.53945961986473	6.69485544858348	6.63483471922473	5.60675848537438	6.32028278604941	5.84918403061438	4.56243800794041	7.80051870781541	9.16903686455486	6.82335354973966	6.51924788716528	8.29494499661021	7.40318549224177	5.92834981459112	5.95825664784237	6.38800608042079	7.6847808446773	8.53555907836044	9.79162451670646	7.02340836277517	9.18465367058452	7.45815856654292	9.82887030544237	8.14388108173191	10.3452296712912	7.45968091521631	5.94218381318242	5.20712142178605	10.409085045609	12.2883	21.1104	28.4527
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	4.66232932131662	5.98141994921795	8.62741323370039	7.6215702996093	6.92612853353728	8.39456680570129	10.6485378213161	6.72933594518151	6.72318363597222	7.53633491823086	7.62253324419867	4.34231934169789	10.3263634740977	6.03524777468348	3.70705762335884	5.46713851433302	6.24132764380269	6.7816608563214	5.28399357720538	10.5244310617397	6.41660605397384	3.6238111927534	6.40787742164268	5.90186434479862	7.38247561428394	6.46944823199481	5.28195495778109	9.12893097910633	7.25823767046812	6.64072258865752	3.85928590951067	7.07091639080628	5.20368031487222	8.52701102167318	6.70344573223149	6.73803340564608	7.44693298279527	5.04226325993577	6.98470671479359	5.50100550966436	5.78669211060106	3.51591673637781	6.68218523472658	2.93509877915464	9.66466366098125	9.37313743699545	6.6127010856659	8.70805107809633	10.2920949147586	6.86747303110617	7.26309964711829	7.52601375611816	5.45034022983109	6.21607274151018	5.59044072385718	4.53385112457793	7.38656086754238	7.71199078075029	7.14058716152165	6.57709365818122	8.02713201920842	7.20762993592305	5.97686598371178	5.75423796456388	6.53649816061211	8.36185200045708	7.81477331396764	8.95333506615939	5.87242809284005	8.73383837376423	8.0253738951976	9.16333633029556	7.98953813790768	9.40659596227623	7.59005442086792	6.16742620342273	5.00532870297143	9.94160214401473	19.4148	21.7078	28.7081
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	3.94376039270629	7.14012237769896	9.61630687779252	7.48755871017995	5.97171887117324	8.42492974644167	12.1017420311583	6.01015638327282	9.27557865962016	7.23657259680326	7.72969902440876	4.67215661692957	11.1047670674305	5.4845973016336	3.80813246122304	4.67734599853731	6.3988885066433	7.06666835582142	8.87825187989353	10.5976630533028	7.12477032377781	4.13935295464979	6.20172364506645	5.93096042630512	9.12547709976504	7.01922920016842	6.14692931953168	9.57145429241144	8.48126000420068	6.64036031974502	3.45017521697807	7.85958736381572	6.6789356923008	10.0722882878442	6.05900586373065	6.9944357782499	9.66251172891396	5.18915410183958	7.42928471533444	4.49375552557634	5.95686383953321	3.53466961802733	6.80373800920186	3.00438315136364	11.5631269790842	11.3260616927308	6.40693145745504	8.3729397044246	10.5391905894566	6.51444522603707	6.49137272666897	7.26910413240173	5.30738800850356	6.11876545240415	6.53313639056496	5.4584199019558	8.28699685878313	8.68513560780335	7.02975368075355	6.44616038885649	8.00607764396229	7.96526693932062	6.20369583062921	6.26880459943205	6.19658616937704	7.44349004420533	7.96616577105937	10.5487257436381	6.41679540899168	8.64535957068394	7.22543633719396	9.98468960955402	7.55533414286742	10.0558729781124	7.65265650436798	5.59420359484685	5.29255994550161	9.89239393675694	16.9873	17.0204	28.6661
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	3.52061898710951	7.67397722583882	9.81183984958628	7.51183195366486	6.53003546912009	9.68971305667199	11.5088629416039	5.96533743559312	8.20723035651407	8.24781865783164	7.44447998111897	4.36079027188496	9.8251998256829	5.61156734976832	3.68901940211177	4.65607113450651	5.94352350749135	7.08059701239589	5.68123013764697	10.5165043741278	7.29383237491297	4.00268276626488	6.51873395039373	6.19239517980543	8.52998111341986	6.40151690147109	6.64928814369551	10.0620472105317	7.91507962341145	7.32560232741346	3.29334796367095	8.54207713955207	5.76836384637092	7.99849001818129	6.20715761268683	6.78614243242383	8.9979755597335	6.04631089702178	8.446314765229	3.61384173792723	5.86797520619658	3.38327053777473	6.91805428392533	3.25133194369037	4.04053995255181	10.8238048980503	6.30913296755669	9.40129138805976	9.93218356659401	6.68512478631629	6.73261420355226	7.35419091170221	5.51869548067921	6.04729334186414	5.94163071281057	4.79575419540744	8.98541237494169	8.17459176014383	7.14473888769376	6.70604643749418	8.00156606860596	7.25954416887896	5.89315861231306	6.21313283911282	6.14823461208337	7.77677555510369	7.98031387720886	9.58832001442458	6.43105573760975	9.05467251372958	7.87334809385002	9.04819030690633	8.01880499204444	9.7500496974923	7.91098460653351	6.01758006170718	5.14632007572473	10.149049321212	19.0355	22.3897	30.1426
