ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GAD1_RNA	GAD2_RNA	CSAD_RNA	ADO_RNA	FMO1_RNA	NADH_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	4.1073137179989	3.00818514595201	6.51689392589048	6.15727259063221	5.37231869720452	18.9258	17.0613
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	4.25880209519833	3.19446023012235	6.97148840403288	6.25505377256712	3.76908758609957	17.9132	14.6941
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	4.27364332346324	3.33945959889835	7.03773061247416	6.15567587565018	3.50492751422085	17.3772	14.6941
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	4.60458680911742	3.24201899504701	7.11023483590883	6.08628223488808	3.59653018040186	18.2417	14.6941
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	4.19188014892538	3.231884671112	6.9972547742566	5.95787101409072	4.1134690030878	14.5684	20.2631
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	4.39534417326231	3.32185638465298	6.69828820206354	6.17219922061135	3.79889358762838	17.0481	18.7336
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	4.20319729668017	3.06813626638318	6.76875635903899	6.01283775588137	3.8655548741979	17.6766	21.2633
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	4.12929804709693	3.17246370945853	6.90812464283363	5.85400631365242	3.43623515295312	17.5744	23.2162
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	4.44501089077386	3.00204716925083	6.74730644680329	6.1216368102848	3.55709485106281	15.615	19.2949
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	4.15661124787943	3.17814118766133	7.05171534345407	5.97747736471093	3.36912700463296	16.5449	17.7997
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	4.01188541269026	3.02791946797528	6.63922549728238	6.13659268655521	3.41944192051286	12.2883	20.9778
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	4.46109195932218	3.30395041942699	6.718033749639	6.05418194381368	3.84183118191488	15.696	18.1207
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	4.52574015476965	3.18598281069839	6.97864055861644	6.16666753529187	3.50603270601067	12.2883	22.105
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	4.20747066015923	3.15167040474259	7.10941214221702	6.10209256461298	3.56093439804692	12.2883	14.6941
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	4.03679148724739	3.09314271051874	6.88481352930259	6.26674467606594	4.1883222896044	19.4148	20.9189
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	4.05530926845079	3.08613151897362	7.13156325849783	5.72772398922007	3.31583498781977	16.9873	14.6941
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	4.03001235353663	3.16207132628576	6.70675318066749	6.06876074055101	3.28763322214927	19.0355	14.6941
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	4.18016494946903	3.12101511165606	6.66071454106994	6.184608200997	4.80700195829951	12.2883	19.3592
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	3.9695211332907	3.03766080575864	6.61971082440522	6.17166646195769	3.34378599944496	17.1308	22.9611
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	4.37385200282673	3.13940450556602	6.85304891728976	5.93573035528976	3.38919789194718	16.7189	18.629
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	4.00960676646557	3.06106741241206	6.89727291409165	6.00555448972994	4.95612274057185	15.2434	14.6941
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.35875981130239	3.26493452680195	6.87445095650287	6.30301507277083	3.51682602843632	16.2879	14.6941
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	4.09409629113334	3.12929176647945	7.26460478777111	5.92704247146423	3.54745803079923	17.6022	17.9468
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	4.36213198664969	3.46531272907352	6.62166138812391	6.47329718548986	3.60768232881945	13.9643	21.7802
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.04341593121743	3.14253308224133	7.11352799279071	6.41088353235437	3.32725940867683	12.2883	18.8734
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	4.01967473557372	3.04285165835253	6.65403792388831	5.59102816971477	3.72022055735654	12.2883	22.5083
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	3.97524873320444	2.93942391243961	6.39914884718544	5.95159439120722	4.28922622804911	13.6254	19.22
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	4.07393457257548	3.08089293068934	6.54448895947985	5.91164684856726	3.55247519820929	17.9416	21.2767
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	4.13138884293667	3.11879318630027	7.66567498966099	6.23990593319811	3.58238723338955	19.1186	14.6941
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	4.11189240857587	3.1435872783647	6.67195438190745	5.91180118198802	3.59849861515816	13.2018	20.7258
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	3.91435086105345	3.07521380712019	6.53900761603489	6.3438790905725	3.32950496071014	17.3613	21.0771
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	4.11727534222791	3.11164010220015	6.71588837373854	5.92634273446442	3.88298970136032	12.2883	19.6288
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	4.16479503201834	3.13594395664834	7.27404188855609	6.26061534179496	3.93127147645898	17.47	18.9766
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	4.15047211173525	3.04837303652158	6.70223850768924	5.96399334236726	3.2415220026881	16.9959	14.6941
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	4.03845756402694	3.15472436071779	6.99942441399341	6.04933688739033	6.83327681752982	17.4977	19.4553
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	4.0570263164011	4.75049320535264	6.83765934153518	6.15414721017188	6.40787409363374	16.8465	16.3219
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	3.98922629442447	3.08884347152912	6.92261974901028	6.29239821657082	4.17921152336723	16.1005	21.2023
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	3.9990807438319	3.02018293219172	6.99631632188217	6.21159742143265	4.7200787019532	14.2945	18.2976
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	4.15138778940247	3.13256108195311	6.66056743859222	6.39423281857065	3.41544030012744	15.6585	18.7489
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	4.15762060862222	3.31020221581798	7.2631452935467	5.90730300152296	4.27550691096607	17.9167	14.6941
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	4.1095586319764	2.96889825225804	6.7717010405897	5.93439651463028	3.37488903757238	14.9525	23.0229
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	4.04272833949495	3.08855309256253	6.92617024702534	6.11673165751881	3.62316979466408	16.4164	20.1569
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	3.97119934057377	3.05134721462191	6.92039915006845	5.91263032266127	3.42507672852042	18.9615	22.9993
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.11146457406294	3.2149750886879	6.6122629810351	6.6125223976503	5.08126746525762	15.3134	22.1237
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	4.04242035173485	3.03852491946252	7.52988798107275	5.75565884143427	3.30977472481333	16.6956	19.0231
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.99623544876826	3.08410799905136	6.92063656411342	5.70782777717223	3.80399920789435	17.7415	21.627
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	4.06028638605635	3.07929068075452	7.27380743394296	6.40192798770694	4.01572818608543	13.5861	20.8863
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	3.95464330812332	3.05841523284794	6.84478743984343	6.0941756609096	4.56816642611587	12.2883	14.6941
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	4.0419707873088	3.00488366455478	6.91734256263774	6.10384659115966	3.93974760957299	16.7528	14.6941
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	4.02792077486223	3.05204457791587	7.21958282750079	5.93463688098431	5.71629079517101	16.3401	14.6941
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	4.3587795746417	3.33648430216557	7.43804618080208	6.13669459941485	3.57143401862473	18.6223	21.8352
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	4.12967167213098	3.14497872796954	6.83740112484929	5.85817886964478	5.99856390318029	16.799	15.471
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	4.71855698199386	3.25359396867931	6.70174070697878	6.2733769072486	3.50942594659391	17.8281	21.0767
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	3.99760242096886	3.06051508412863	6.62771680815772	6.2254988520622	3.75347822510607	17.0624	18.8437
