ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ABCB4_RNA	ATP8B1_RNA	ATP10A_RNA	ATP8B2_RNA	ABCA1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	6.84592693044533	7.37103465790061	3.26945022044895	6.92655112782756	8.09610786281661	26.3441
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	7.31320078173978	7.83326926179449	2.96376893851837	6.12256485301169	8.39281373984833	25.5079
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	8.18850348573552	7.27002057931611	3.34152075472018	5.60608545076848	9.02363617741376	23.8783
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	8.3327651999414	6.27864157272412	3.47186567268409	5.5724167089213	8.27525000241633	26.2395
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.61440844677202	6.19277681218212	3.30364769313999	6.07228327387178	8.52603577080763	22.8643
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.59856761909252	7.85382469737572	3.10475339932591	6.50732848542877	7.7182923586514	25.6287
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	8.68534967810907	7.34624970371694	2.65658159331078	5.60816897338878	9.07491373341556	25.6178
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.27819781749277	7.22206017234094	3.14406610897213	6.71280978553807	8.23725342859319	22.2773
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.4423646501046	7.74256690605552	2.81983416685828	6.26024910791565	8.8052077713194	22.3772
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.01363951418945	7.6999234152519	2.9175164524897	5.86514164110729	9.24375598891525	26.0154
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.60831688172304	7.04836223539374	2.69616283849906	5.90761154856476	8.7998406410358	26.5406
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.47221589705781	7.92542968309146	3.41253524003061	5.69578655896148	8.24105833302648	16.7719
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	4.48608861791057	8.8587226560605	3.50266502144134	6.75738257764102	8.14756936542592	24.8363
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	9.87010308059113	8.82101184745631	3.1411313624119	5.48198944761256	8.10019758233373	18.6536
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	6.12777759788741	7.5464436680655	3.35591270287714	5.80719011689577	8.37179431651573	25.1428
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	9.7516092554196	7.10225296785205	3.09501952525408	5.64243440498158	7.74429032078639	23.5814
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	8.81028123050227	7.87049625544029	3.38208538057484	5.64175767934812	8.82295794432672	19.8251
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	7.3576840815017	7.29407237029748	3.03064266667859	7.27132114630729	8.76472468555236	29.569
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	7.4035806315431	8.52808914934663	2.94746654798485	6.72716822943477	9.04595806113495	24.6622
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.71279947164356	7.03955883792164	3.19190748307703	6.5064781126687	7.89900649818756	24.7123
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	8.8545729559713	7.93520203719389	3.24379589103645	6.26060433050674	7.99867080944316	24.8868
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	9.085784279726	7.9894160699698	3.21113241792259	5.85749451185278	8.50780553479539	19.0614
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	9.17675758201386	7.287825655765	3.0451382059355	5.6436282908159	9.0781014662184	25.8519
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.67966156608512	7.09124670071494	3.41538135721579	6.41045657447829	9.03713163841232	26.073
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	8.44195272843673	7.07194356089375	3.01973833610944	5.02216911451152	7.7511868251987	25.28
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	8.37811715474308	7.7727840579691	3.13633462942295	7.2034828486523	7.20841998008886	20.9006
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.78374141338436	8.38125438525896	3.00472639597108	6.51446290671351	8.66460890711098	26.5742
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.84460265150336	7.27655790729232	3.13274818018498	5.87169649539433	8.42290926183645	26.3911
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.6606875550453	7.35596568543605	3.17715861386316	5.32903485341113	8.45891798201022	24.9307
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	6.76281668966635	8.5218158582421	3.21526151990997	6.73116900120792	7.82856415605507	21.366
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.78295522802109	7.02135221200816	3.14011805484403	5.92591171281418	8.83590456609814	23.9861
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	8.9655874923329	6.98892417924305	3.26808850368729	5.7988022940183	8.4533691434591	21.7926
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	8.55041441822073	6.90188263286064	3.21661893590247	5.77272988580945	8.93225674181858	24.5372
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.67640173033945	6.98798040881188	2.80432292643395	5.24334168018543	9.23867494862987	27.6273
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.17984346654143	7.04757671506526	2.89307577835469	6.08697844921242	9.16201325503816	26.951
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	4.25898831986258	7.07960418770883	3.20685124381793	6.10201522699895	8.11697273042751	24.4198
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	4.93837131982625	8.19109402245966	2.78864300145587	5.56191859412421	8.54135993740912	23.7207
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	9.53914767070481	6.99638334303465	3.15853319085426	6.23991248955311	8.04272899342144	24.6265
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.6155795494041	9.18023158364758	3.62567919419261	5.71496362501399	7.81235629046803	25.6231
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	8.35307812154951	8.66698465102121	3.02791913465755	5.37921609586016	8.35216284870129	24.4058
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	7.98346294982751	7.93248859017788	2.85539923380836	6.37997150651733	9.15509740167759	25.5134
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.59588873723322	8.07178302916694	2.74878604187883	6.14764898858783	8.60848681203821	26.378
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.79782306624933	6.69734360467313	2.88274366673615	6.31186985159372	9.16073531876781	24.253
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.8726133194967	5.40925297178982	3.11339330487254	5.61461482133856	8.04118819587389	26.2788
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	9.49650355357933	7.76098785514214	3.03825003464733	5.82345818303457	8.47425507335034	22.9078
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	7.47132154262346	7.49776378825103	3.00946884776955	5.55451553148308	9.83785736940204	27.2937
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	9.62270143960439	7.18355596511925	3.31202337962156	5.89457023378087	8.70188819111575	20.0374
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	9.94382126818161	8.12053414282532	3.29141940311208	5.66422283779392	8.40261195373557	23.279
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	8.71125579974407	8.65101071192988	2.93500268153512	5.75712361143679	9.38112586688898	25.1035
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	9.29031135518932	7.45588317541496	3.0098670354178	5.24627103019666	8.64652032243623	23.3211
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	8.06188141210032	6.24125413555457	3.83477919341202	5.86667944605948	9.21504293359161	24.7568
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	8.08374611630292	7.18596078800316	3.57737776992989	6.432094641391	8.68778249024557	22.374
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.28974741114795	7.54486515804975	3.53031100495032	6.06681096360604	8.14333017738341	24.8664
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	5.364439406427	8.98644831253499	2.84253380672	6.0669203176665	8.11534600378561	27.0925
