ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SAT1_RNA	SAT2_RNA	PAOX_RNA	SMOX_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	9.68782747970528	7.91279846645952	6.34170256025997	6.07938798536412	20.6145
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	9.53582291074743	6.75694600187765	6.37470511705381	6.08482587860646	21.4694
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	10.1679942965041	7.50266134103759	6.5047284932364	5.94862782511042	17.0567
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	9.8132008358113	7.16247494163345	6.53051696279772	5.87278185769123	11.983
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	8.66127223313403	7.29621017536307	6.2434017666653	5.86102025828926	11.983
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.78623009642921	7.73779199471204	6.34608957611793	6.07241109237463	11.983
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	9.93515002884297	7.57746054378669	6.20984366292198	5.99480714766867	11.983
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	8.76774054331747	6.63234841458241	6.33958322327217	6.16771835402129	21.6999
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	10.3091520194788	7.76126432666622	6.25555953961629	5.68312637285102	24.6271
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.6595725362168	7.60452304570309	6.50306268932114	5.67134443101982	15.4543
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	9.72977775240104	7.62051207901921	6.49034281239348	6.05546566318869	20.2335
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	9.38823391202655	8.62625480993085	6.50117412290982	6.17545410268698	21.7037
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	9.53916612208855	7.6333844124762	6.70609903845042	6.09174000100596	17.9949
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	9.72092423083657	8.25651348966695	6.86156619300722	5.86353345724746	11.983
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	9.32583963241118	8.61965773555431	6.41827349324077	5.91419754852496	11.983
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	9.9674943262167	7.80836487447572	6.38492631060622	5.61750834535124	11.983
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	9.9591018583275	8.73819518887792	6.77343980330836	5.70934339985483	14.4153
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	9.98559490418525	8.09524228616068	6.42019090658497	6.06232396221478	21.3782
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	9.70849192211138	7.28358701279906	5.95882609659989	5.78399980797412	20.3544
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	8.98146574084013	7.27334727790813	6.49863995842117	5.69074140076627	14.2118
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	9.90049725895677	7.1264273161825	6.76907742320224	5.73754013810381	19.6599
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	9.38699439309404	7.46375856080053	6.74387099712274	5.87778725471809	11.983
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	10.05711744144	9.04107249659885	6.34783430566974	5.55982521438053	11.983
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	10.3834594141637	6.99331468755529	6.40125084193159	6.26696688846395	20.3488
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	9.40426628903472	8.21355611634544	6.37798430778528	5.9551671103841	17.4995
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	8.91218426713006	8.13389132788385	6.303178946419	5.88822160242598	16.1794
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	10.0007170911411	7.92659932920265	6.11161504904856	5.84967270527746	19.5035
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	10.4491323232699	7.63512933188006	6.23360276833992	5.75564429759606	19.1204
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	9.76900221358332	7.61962815782715	6.44158527636754	5.80863902185451	11.983
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	8.53936703401557	7.8753822764182	6.49842499174303	5.79876745417899	20.4406
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	9.67504111805916	7.9046595296512	6.31400259258745	6.13576446225404	15.6682
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.95349069703361	8.42124909825649	6.58315688874845	5.65418424863028	20.0462
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	9.93786752039576	8.90296033707749	6.48618604841312	5.93327104847785	16.8538
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	9.05543664111789	7.89281190808859	6.3431882351923	5.75505707322877	11.983
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	9.68301694351477	8.9446921572751	6.32147802216373	5.91173985941844	11.983
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	8.38465660450949	7.64050870037762	6.1150062429744	5.88613106676539	19.4383
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	8.9161222650626	8.86114146881176	6.75575717462354	5.66849267948986	14.7852
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	10.2030636113498	8.41121079099354	6.49202149684158	5.66529775329871	15.3296
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	9.10673655677481	7.10077603444633	6.61637776108482	6.15415910750411	11.983
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	9.36920856840883	6.86537500076407	6.21349193392447	5.81187264452517	17.3595
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	10.197311081128	7.43087077259758	6.31453827837696	5.40025428847253	11.983
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	9.66829681237881	8.60012373210408	6.39119309146378	5.9699729922678	15.7843
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	9.20089480228927	8.15955999009561	6.45365083032619	5.87342891787215	11.983
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	9.24404061614094	7.08630908107002	6.39236157165327	6.08110168059768	19.3875
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	9.86008928057633	8.26027668170046	6.50393122712397	5.60800525692385	11.983
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	10.0147696673017	7.67343524823841	6.18415768553354	5.90389806329379	17.9465
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	9.99350837271498	8.16929199055508	6.38734967507144	6.07828294783187	17.464
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	9.58242427070988	7.64909232041048	6.45661860706235	5.75965344032973	16.2582
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	9.38674017604784	7.87862277227253	6.55472751718535	5.51123280165295	11.983
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	8.80328631674181	7.77188088215771	6.34699516730966	5.69588070798274	11.983
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	9.87938574073133	8.40077111990349	6.51139109720487	6.02174124835705	11.983
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	9.51138186060437	8.57373686600433	6.50612987250415	5.73668949879691	11.983
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	10.2346708725214	6.43968744972023	6.33314160558168	6.20626531471961	22.1923
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	9.21284812901719	6.72559908894135	6.03520321383166	5.76186211968798	22.3477
