ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	BAAT_RNA	ABCB11_RNA	ABCC3_RNA	ABCC11_RNA	SULT2A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	9.03762233766838	5.59776049183288	8.21951065692241	4.7523529342921	6.20113211946226	12.0607
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	10.4043239491836	6.87423544483866	8.70065828573848	4.93420715638767	8.73393726825711	12.0607
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	11.5748738655826	8.46112051003053	8.78968516312116	5.26859941401027	10.0503140210933	12.0607
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	11.7988236024917	8.81366229238157	8.05501709979477	5.11076659354957	10.0707962469543	23.1056
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	8.6879705862026	8.39661458313386	6.83566839108335	4.96153216016701	6.55059600538633	12.0607
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	9.75499670730138	5.98945996432249	8.95566735010655	4.97009493421897	8.18058525914609	12.0607
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	11.1604925438088	9.97145415990742	8.93253466563499	4.72727467798753	9.7085333201285	21.1606
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	9.67723379457423	5.43580117869149	9.32397509536583	4.99152977250824	4.84772772607191	13.6251
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	10.1637635828096	3.58840785905313	7.0994910499806	4.50378723048548	6.39525116416677	15.9682
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.29276467529	6.43823476028101	6.89153451173182	5.21191104273375	8.55258362525113	12.0607
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	10.1699794917332	4.81238685805912	6.97769342341351	4.52315462673885	6.56152841564146	12.0607
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	10.6772090397436	7.83987798136998	8.47680780528185	5.12517503193994	9.86137784632435	12.0607
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	10.4416894666188	5.86448579944197	8.59417998949942	5.0145164077288	7.27895638845079	12.0607
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	11.8255679369252	10.0311089645132	9.29342570905576	5.42034435394294	9.8527407207684	17.8658
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	10.377466090092	7.92964241686065	7.91686235052166	4.7159632983248	8.71102830867054	12.0607
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	11.4536273808459	10.6753449087937	8.5286419129955	4.84220142154185	9.11729961194166	24.7569
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	12.0411647295165	9.28310649411615	9.36429572937423	5.36634123304961	9.73546553844584	20.5535
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	8.39961187538218	7.71201344942243	8.12877143895036	4.84082252345888	7.63207045372916	12.0607
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	8.68444936532441	8.9195209203424	9.42360430179768	4.82636860427176	8.78241472346257	12.0607
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	9.51090514467912	7.7902533324527	8.31596521827793	5.20729433230977	8.59089341550121	19.9903
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	10.2896351907018	8.77441991673501	8.82297935190375	4.76452419629149	8.77603694888943	12.0607
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	11.3998886169577	9.56148830034127	9.14068876202613	5.84017790514966	9.4700706963204	19.2255
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	11.166250222642	10.0147422241252	7.6889242124756	4.78375869560082	9.97972321526685	12.0607
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.7376271055155	5.33407467055419	6.47853980857876	4.78454949406998	3.76292083550707	12.0607
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	10.5698012648368	9.38968964454956	7.18794642274656	4.62047162117005	8.6376242891116	12.0607
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	9.30219020390413	8.34525446640096	7.62480157454398	5.71499598283571	8.37991827466955	12.0607
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	10.6420885657195	3.57226983744763	8.05117859690093	4.36057759354624	6.77958001232024	12.0607
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	11.3311578479209	8.72214236126754	7.92559920772548	4.865219802631	8.90356115131628	17.6756
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	10.5185284548021	9.52576401289065	8.7993270882437	5.17515872102962	8.32549563250935	12.0607
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	10.3228930975467	7.14271836991087	9.44708900698298	4.79957002042793	7.98853110574515	12.0607
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	8.8540341918325	7.51506204370739	7.55420401784208	4.42207398395573	7.70378934512011	12.0607
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	11.1548001333436	8.75925029360887	6.69298147675521	5.03263823728962	8.53597533979016	24.8807
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	11.1372498713781	9.27877053260623	8.75549782452894	5.32896874362346	10.0747200175554	21.471
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	11.4805434862587	10.1729684728815	8.95194838259633	4.87400171780613	9.7989685054011	12.0607
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	10.7217862087597	8.93339170708126	7.48393068900129	4.72411583327764	9.45157710611334	12.0607
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	7.53212723498214	4.41019367459602	8.3977795912852	4.70070894519923	4.34901223781253	12.0607
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	10.7381756223338	4.03663716892672	8.02880137686324	4.54967304670751	8.94568457796052	19.9974
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	10.9855937829632	8.71652372690244	8.35328435761667	4.90411298696078	9.93688846839149	23.5212
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	9.55834218491415	5.88208665427661	8.94323565799483	5.04078974696116	7.31303293991063	12.0607
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	9.89240817096843	6.85476703698446	8.47785692067962	5.13475955101057	7.47775762398822	20.3496
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	10.4404626409806	8.81009236337011	8.00105796031388	5.05858621751108	8.62363158125837	12.0607
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	10.1682130977795	7.00620870301722	7.73759740040282	4.6835246687374	8.59325449847569	12.0607
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	9.93205192753626	8.57696611175754	8.00096202881175	4.72969096691908	7.84614401564017	12.0607
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	9.36448772314309	3.95517428908989	9.30454956469756	4.6905286877525	3.85866014953251	12.0607
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	11.4341177023801	10.6018308015897	8.90847774860936	5.16625800624477	10.112406640546	12.0607
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	10.237087212259	8.15001883721332	8.40153304989108	4.77477459697491	8.18507913935968	12.0607
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	11.082984594132	8.74642120902874	8.68125185607036	4.94074638481149	9.97051511464398	19.5657
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	10.894563351979	9.06444338612395	8.64032113852238	5.44263361526925	9.62501261866208	12.0607
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	11.3544247187619	9.4827251462924	9.19021605619357	5.54785075844238	9.37347205851076	21.5498
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	11.1345734130474	9.9667149617637	8.87029475053023	4.69418761532143	9.93966065606797	12.0607
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	10.6466251283248	8.77904905722203	8.3450878810457	5.40102284969103	9.56736752659642	20.0891
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	10.5585876840501	8.43844674986057	8.48421187864381	4.98087281778566	9.48784201108841	12.0607
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	8.91405782238286	6.84019191090537	8.80451370168596	4.87019425093547	7.17581546431848	20.2769
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	10.1552900608382	3.62451388241672	9.49806093159449	4.63460359650021	8.19166415400814	12.0607
